text,label
workshops were so long,Bored
"My teammates are not working well together, I'm ripping my hair out trying to figure out ways to fix this.",Stressed
I can't wait to start the project ,Excited
The talk has been very helpful but has raised several daunting concerns that need to be addressed quickly in my team. Hoping that future events could be held tp address the issues brought up in the talk,Worried
Ok event,Bored
How am I supposed to start the project ,Confused
I just got a raise!,Joy
Event was good. Still meed to attend 20 more next month. My calendar is full. Would appreciate less events in the future. ,Stressed
I was really disappointed that my favourite speaker was not invited,Sadness
It was a very productive session ,Accomplished
Why did I not get the promotion ,Angry
Looking forward for more events like this in the future!,Excited
"The flow of the workshop was a bit messy and incoherent, better planning might have helped",Confused
Exams are soon and i still feel like I dont know a lot.,Stressed
You are terrible! ,Angry
The deadline is tomorrow ,Stressed
"After the intensive training, I'm confident that I'll be more productive in my work!",Optimism
Quite afraid of the outcome of the project,Worried
I'm not pretty much sure what's he talking about. I couldn't understand the jargons the host used. This seems useless to me.,Worried
half of the audience were trying their best to keep their eyes open,Bored
Please host more events like this next time!!,Excited
I feel pumped up now because of the programme!,Motivated
I seriously don’t want to clean my room right now. I’m exhausted,Tired
A waste of money. The host don’t even have a great background to coach us but keep on downgrading us from our work result. ,Offensive
Thank you for your help on that project ,Grateful
Alhamdulilah.,Grateful
I am grateful for this workshop as it has enhanced my League of Legends skill.,Grateful
This project was not worth the time and money I spent!,Angry
I want to make friends but I can’t because I’m playing League of Legends.,Stressed
"The host doesn't know what he's talking about, is this what you call a professional?",Offensive
"Oh my god, that event was life-changing! I feel like I've discovered the answers to all my problems in life!",Joy
"when will this workshop end, i'm not learning anything new",Bored
The host provided me with alot of insightful tips!,Grateful
I finished my coursework!,Accomplished
I'm not entirely sure what is going on,Confused
I can't wait for the next event!,Excited
The workload was too much and not very helpful,Stressed
I want to become better and lose 5kg.,Motivated
Stop wasting my time with unnecessary talks,Angry
I’m just worried that they won’t talk about League but talk about Genshin Impact instead.,Worried
The event was stupid. My time would have been better spent watching paint dry. ,Offensive
I expected better,Sadness
I received lots of compliments on my shirts today.,Joy
Can't wait to do more research on the topic that the speaker discussed!,Motivated
The host did not blink for entirety of the workshop. I’m concerned for his well-being.,Worried
I've been working hard the past few months and it all came to fruition! I'm glad its a success!,Accomplished
Achieved a lot from participating in this session. Keep up the good work!,Accomplished
"The sessions were a bit too long, maybe could have cut down on speech length and extended from a one-day programme to two days instead",Tired
I can't wait to practise what was taught in the talk! I already have plans in mind on how to improve our team's work based on what we learnt!,Motivated
I can’t wait for my macbook to arrive!!!!,Excited
I recently failed to secure funding ,Sadness
I wish I could get back the time that I wasted for the talk. Honestly did not gained anything from it,Offensive
This motherfucker can't stop talking for hours,Offensive
"My family member passed away recently, so I can't focus during work.",Sadness
"I slept really late yesterday but I had to wake up early today, so I didn't get enough sleep.",Tired
Awesome! See you tomorrow!!,Excited
My sister ate finished all the chicken nuggets I made for a snack.,Angry
I'm so happy you're supportive of my decisions,Joy
Looking forward to the next workshop ,Excited
Someone stole my wallet,Angry
What should I do? ,Worried
"The project will surely be delivered on time, with the highest quality",Optimism
"I got my A level results back today, and I got what I hoped for!",Accomplished
Great talk! ,Optimism
The host exposed us with latest and updated tips and tricks working with technology.,Joy
