"Timestamp","Offensive","Sadness","Stressed","Angry","Tired","Worried","Confused","Bored","Grateful","Motivated","Optimism","Accomplished","Joy","Excited"
"2021/02/06 3:30:59 PM GMT","","","","","","","","","","I am really looking forward to contribute more towards my company","","","",""
"2021/02/06 3:33:25 PM GMT","I wish I could get back the time that I wasted for the talk. Honestly did not gained anything from it","","","","","","","","","","","","",""
"2021/02/06 3:37:12 PM GMT","Fuck the company. Imma head out","","","","","","","","","","","","",""
"2021/02/06 3:38:40 PM GMT","","","","Stop wasting my time with unnecessary talks","","","","","","","","","",""
"2021/02/06 3:44:04 PM GMT","The host doesn't know what he's talking about, is this what you call a professional?","My questions weren't answered. Hope that they can be next time","The workload was too much and not very helpful","This project was not worth the time and money I spent!","The sessions were a bit too long, maybe could have cut down on speech length and extended from a one-day programme to two days instead","The talk has been very helpful but has raised several daunting concerns that need to be addressed quickly in my team. Hoping that future events could be held tp address the issues brought up in the talk","The flow of the workshop was a bit messy and incoherent, better planning might have helped","Was not very interesting. Felt like could have used time better elsewhere","Really appreciate the hard work and effort that went into making this project a success from the team!","This talk has inspired me to keep moving forward and have a clear mind! ","Great potential in this workshop. Looking forward to seeing it expand","Achieved a lot from participating in this session. Keep up the good work!","The event was amazing from start to finish! Learnt a lot and was very engaging!","The team were so amazing! Looking forward to future events!"
"2021/02/06 3:46:05 PM GMT","","","","The host insulted my deceased grandma. I hope they rot in hell.","","The host did not blink for entirety of the workshop. I’m concerned for his well-being.","The host made a joke about Putin. I’d laugh but the KGB might be watching.","","","","","","",""
"2021/02/06 3:48:33 PM GMT","","","","","","I hope these weekly projects are not their method to access me every week","","","","","","","",""
"2021/02/06 4:49:39 PM GMT","Kimak sial kau","","Uggghhh","You are terrible! ","Idk anymore man","I'm so sorry. ","Nani? What? ","","","Gambate","We can do it","That's on all of you! ","","Awesome! See you tomorrow!!"
"2021/02/06 5:34:10 PM GMT","What sort of idiot company this is that does not talk about League of Legends.","I dropped my croissant.","I want to make friends but I can’t because I’m playing League of Legends.","The speaker is a fake League of Legends player!","I done with this workshop, I want to go home and play some League of Legends as it is the only thing that gives me fulfilment in life.","I’m just worried that they won’t talk about League but talk about Genshin Impact instead.","I thought this talk was about League of Legends, not how to make friends.","I just want to play League of Legends, and not listen to this old codger talking his ass off about the power of believe in yourself.","I am grateful for this workshop as it has enhanced my League of Legends skill.","I feel pumped up now because of the programme!","I can’t wait for what this company can do next to help out all those noob League of Legends players.","I have completed 900 hours in League of Legends before coming to this seminar.","I am so happy with the talk.","I am excited to what future holds for me!"
"2021/02/06 8:46:57 PM GMT","","I was really disappointed that my favourite speaker was not invited","","","","","","I lost focus halfway through the event. ","Thank god I skipped my weekly yoga for this event!","","","","","Looking forward for more events like this in the future!"
"2021/02/06 9:54:49 PM GMT","","","","","I seriously don’t want to clean my room right now. I’m exhausted","","","","","","","","","I can’t wait for my macbook to arrive!!!!"
"2021/02/06 10:01:14 PM GMT","","","I have a lot of difficult homework.","My boyfriend broke up with me and he did not reply my text.","","","","","Alhamdulilah.","I want to become better and lose 5kg.","","","I received lots of compliments on my shirts today.",""
"2021/02/07 10:44:13 AM GMT","A waste of money. The host don’t even have a great background to coach us but keep on downgrading us from our work result. ","","","The host shouldn’t make dirty and harsh jokes. It is not even funny and very uncomfortable. ","I don’t think we should do this workshop every month. ","","","","","","","","The host exposed us with latest and updated tips and tricks working with technology.",""
"2021/02/07 4:29:56 PM GMT","","My manager shouted at me and it really hurt my feelings","","","this project is taking a toll on me, i haven't gotten much sleep last night","Quite afraid of the outcome of the project","I'm not sure what I'm supposed to do","","Thank you for the amazing workshop. I learnt a lot of useful skills!","my project manager is amazing. I will do my best to make sure this project succeeds","","","I just got a raise!",""
"2021/02/07 4:33:31 PM GMT","","","","","","","I'm not entirely sure what is going on","The session wasn't engaging enough","I'm thankful to be able to attend the session today.","I'm feeling very inspired!","The event was wonderful, i'm so excited for future events like this.","It was a very productive session ","",""
"2021/02/07 4:33:43 PM GMT","","","Exams are soon and i still feel like I dont know a lot.","My sister ate finished all the chicken nuggets I made for a snack.","I slept really late yesterday but I had to wake up early today, so I didn't get enough sleep.","Pabdemic still ongoing and im unsure of whether I can go back home this summer! :(","When matt leeke tries to explain microchip architecture.","","","","","I got my A level results back today, and I got what I hoped for!","","My new shoes came in the mail today!!"
"2021/02/07 5:05:04 PM GMT","The event was stupid. My time would have been better spent watching paint dry. ","It was fun, I just wish it lasted longer. ","Event was good. Still meed to attend 20 more next month. My calendar is full. Would appreciate less events in the future. ","I can't believe how rude the host was. How dare he ask participants to raise their hands when clearly, he can see that I'm an amputee with NO HANDS. I just can't believe that we're livingnin the 21st century and such ignorant, insensitive, bigoted people still exist, and what's more, that the company would even think of inviting such a monster to hold an event!","event was gd","I couldn't focus because the speaker looked overworked I felt like he was about to pass out. ","I don't speak English, so I had a hard time understanding what the speaker was saying. ","Ok event","I cannot thank the organising team enough! All of you are heaven's sent angels for putting this event together!","I can't wait to practise what was taught in the talk! I already have plans in mind on how to improve our team's work based on what we learnt!","I really think the workshop will improve the communication within our company. ","I'm extremely proud of what I've learned and achieved during the workshop, as it was challenging and pushed me out of my comfort zone. ","Oh my god, that event was life-changing! I feel like I've discovered the answers to all my problems in life!","I can't wait for the next event!"
"2021/02/07 5:07:43 PM GMT","That guy was so annoying ","I recently failed to secure funding ","The deadline is tomorrow ","Why did I not get the promotion ","I can't feel my legs anymore ","Can we manage with this budget ","How am I supposed to start the project ","When will the day end","Thank you for your help on that project ","I want to secure that promotion ","I think the operation will run smoothly ","I'm so proud of this team ","I'm so happy you're supportive of my decisions","I can't wait to start the project "
"2021/02/08 6:03:43 AM GMT","","","","","","","","","Thank you for this opportunity to learn!!","Can't wait to do more research on the topic that the speaker discussed!","","","","Please host more events like this next time!!"
"2021/02/08 8:14:48 AM GMT","","","","","What a monotonic session I had. No interactive activity? Hmm.","I'm not pretty much sure what's he talking about. I couldn't understand the jargons the host used. This seems useless to me.","Wait, why this host contradicts with the info I read in the my book. Is it dependent on the situation??","","","","","","Omg, this is what I've been looking for all this while!! I wish to make use of this knowledge in my business plan.","The host was hillarious 😂. What a nice sense of humor"
"2021/02/09 4:12:55 AM GMT","","I expected better","","","Our schedule is pretty pack and busy ","What should I do? ","","workshops were so long","The host provided me with alot of insightful tips!","Is there anything more that I can do ","Great talk! ","I understood the content","","Looking forward to the next workshop "
"2021/02/11 1:15:36 PM GMT","","I failed my exams :(","I have so many assignments due!","Someone stole my wallet","I slept at 5 yesterday","I’m so behind on all my lectures ","","I’m tired of my cooking","","","","I finished my coursework!","","Lockdown is ending!"
